,year,COUNTRY,mount_kba_area,kba,cum_overlap,cum_percPA
29498,1950,LBN,2516835227,2516835227,101966.6988,0.004051386
29499,1950,LBR,11423112135,11423112135,0,0
29500,1950,LBY,3684771.576,3684771.576,0,0
29501,1950,LCA,240337066,240337066,91929151.3,38.25009303
29502,1950,LIE,10126161.97,10126161.97,0,0
29503,1950,LKA,4551204726,4551204726,842335659.9,18.5079712
29504,1950,LSO,2304335171,2304335171,0,0
29505,1950,LUX,232316507.7,232316507.7,35516547.2,15.28799979
29506,1950,MAR,37504179888,37504179888,746283904.9,1.989868615
29507,1950,MDA,180346636,180346636,0,0
29508,1950,MDG,88611537586,88611537586,2448638604,2.76334061
29509,1950,MEX,3.22843E+11,3.22843E+11,2483037932,0.769116499
29510,1950,MKD,8242350876,8242350876,906909575.5,11.003045
29511,1950,MLI,3285868932,3285868932,0,0
29512,1950,MMR,1.48533E+11,1.48533E+11,1169344766,0.787260571
29513,1950,MNE,1678384213,1678384213,0,0
29514,1950,MNG,71364037020,71364037020,0,0
29515,1950,MNP,16117677043,16117677043,0,0
29516,1950,MOZ,9708529683,9708529683,4074586440,41.96914026
29517,1950,MRT,1031775463,1031775463,0,0
29518,1950,MSR,16169993.68,16169993.68,0,0
29519,1950,MTQ,545233023.2,545233023.2,0,0
29520,1950,MUS,600031743.6,600031743.6,0,0
29521,1950,MWI,18328931222,18328931222,4206262221,22.94875882
29522,1950,MYS,48667368425,48667368425,5031419890,10.33838494
29523,1950,MYT,68455246203,68455246203,0,0
29524,1950,NAM,97455366828,97455366828,0,0
29525,1950,NCL,46860378857,46860378857,122369962.9,0.261137374
29526,1950,NER,78359754158,78359754158,0,0
29527,1950,NGA,14556010427,14556010427,0,0
29528,1950,NIC,21025366012,21025366012,0,0
29529,1950,NOR,14853619458,14853619458,0,0
29530,1950,NPL,32538373082,32538373082,0,0
29531,1950,NZL,1.91888E+11,1.91888E+11,590237935.1,0.307595024
29532,1950,OMN,9355409468,9355409468,0,0
29533,1950,PAK,20064115978,20064115978,0,0
29534,1950,PAN,23004130803,23004130803,0,0
29535,1950,PER,1.74113E+11,1.74113E+11,0,0
29536,1950,PHL,74197946484,74197946484,364894696.7,0.491785439
29537,1950,PNG,39134788419,39134788419,0,0
29538,1950,POL,5961386005,5961386005,22397798.68,0.375714618
29539,1950,PRI,1885563155,1885563155,203653558.1,10.80067552
29540,1950,PRK,1127710544,1127710544,0,0
29541,1950,PRT,13507032417,13507032417,0,0
29542,1950,PRY,4814143497,4814143497,0,0
29543,1950,PSE,1899381100,1899381100,0,0
29544,1950,PYF,126371282.6,126371282.6,0,0
29545,1950,REU,1375671690,1375671690,0,0
29546,1950,ROU,29660168249,29660168249,56012804.81,0.188848574
29547,1950,RUS,4.51294E+11,4.51294E+11,22912629115,5.077091308
29548,1950,RWA,5809084522,5809084522,2209364114,38.0329139
29549,1950,SAU,25307037331,25307037331,0,0
29550,1950,SDN,9534571050,9534571050,8399680300,88.09709694
29551,1950,SEN,8543309588,8543309588,0,0
29552,1950,SGS,3496304723,3496304723,0,0
